Number,SKU,Core
1,Standard_DS14_v2,16
2,Standard_D13_v2,8
3,Standard_DS13_v2,8
4,Standard_D3,4
5,Standard_DS12_v2,4
6,Standard_D11_v2,2
7,Standard_D4_v2,8
8,Standard_D3_v2,4
9,Standard_DS4_v2,8
10,Standard_D14_v2,16
11,Standard_M128s,128
12,Standard_DS14-8_v2,8
13,Standard_E8s_v3,8
14,Standard_D4s_v3,4
15,Standard_M64s,64
16,Standard_M32ms,32
17,Standard_E32s_v3,32
18,Standard_D12_v2,4
19,Standard_D5_v2,16
20,Standard_A3,4
21,Standard_D16s_v3,16
22,Standard_DS15_v2,20
23,Standard_DS3_v2,4
24,Standard_DS11_v2,2
25,Standard_DS13-4_v2,4
26,Standard_DS2_v2,2
27,Standard_DS12,4
28,Standard_F8s,8
29,Standard_F4,4
30,Standard_D2_v2,2
31,Standard_F4s,4
32,Standard_F16s,16
33,Standard_D8s_v3,8
34,Standard_D2_v3,2
35,Standard_D4_v3,4
36,Standard_DS11,2
37,Standard_D2,2
38,Standard_A2_v2,2
39,Standard_A2m_v2,2
40,Standard_DS11-1_v2,1
41,Standard_D4,8
42,Standard_E16_v3,16
43,Standard_D8_v3,8
44,Standard_E8_v3,8
45,Standard_D16_v3,16
46,Standard_A5,2
47,Standard_D32s_v3,32
48,Standard_A6,4
49,Standard_A8m_v2,8
50,Standard_DS5_v2,16
51,Standard_DS14,16
52,Standard_D12,4
53,Standard_D13,8
54,Standard_F4s_v2,4
55,Standard_E16s_v3,16
56,Standard_E4s_v3,4
57,Standard_D15_v2,20
58,Standard_E4_v3,4
59,Standard_A8_v2,8
60,Standard_A4_v2,4
61,Standard_A4m_v2,4
62,Standard_D11,2
63,Standard_DS2,2
64,Standard_A2,2
65,Standard_A7,8
66,Standard_DS1_v2,1
67,Standard_F2,2
68,Standard_E64s_v3,64
69,Standard_D1_v2,1
70,Standard_A4,8
71,Standard_D2s_v3,2
72,Standard_F16,16
73,Standard_L16s,16
74,Standard_DS3,4
75,Standard_DS12-2_v2,2
76,Standard_M8ms,8
77,Standard_DS13-2_v2,2
78,Standard_E2s_v3,2
79,Standard_M16-8ms,8
80,Standard_E16-4s_v3,4
81,Standard_B2ms,2
82,Standard_F2s,2
83,Standard_DS1,1
84,Standard_D1,1
85,Standard_E2_v3,2
86,Standard_DS4,8
87,Standard_A1_v2,1
88,Standard_F2s_v2,2
89,Standard_A1,1
90,Standard_F1,1
91,Standard_E20s_v3,20
92,Standard_M32-16ms,16
93,Standard_DS13,8
94,Standard_L4s,4
